Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.6666,01/01/2025,31/01/2025
Albania,Lek,ALL,119.0159,01/01/2025,31/01/2025
Algeria,Dinar,DZD,170.0711,01/01/2025,31/01/2025
Angola,Readj Kwanza,AOA,1173.8581,01/01/2025,31/01/2025
Antigua,E Caribbean Dollar,XCD,3.4387,01/01/2025,31/01/2025
Argentina,Peso,ARS,1296.6640,01/01/2025,31/01/2025
Armenia,Dram,AMD,497.4373,01/01/2025,31/01/2025
Aruba,Florin,AWG,2.2745,01/01/2025,31/01/2025
Australia,Dollar,AUD,2.0121,01/01/2025,31/01/2025
Azerbaijan,New Manat,AZN,2.1602,01/01/2025,31/01/2025
Bahamas,Dollar,BSD,1.2707,01/01/2025,31/01/2025
Bahrain,Dinar,BHD,0.4778,01/01/2025,31/01/2025
Bangladesh,Taka,BDT,151.7431,01/01/2025,31/01/2025
Barbados,Dollar,BBD,2.5414,01/01/2025,31/01/2025
Belarus,Rouble,BYN,4.1559,01/01/2025,31/01/2025
Belize,Dollar,BZD,2.5597,01/01/2025,31/01/2025
Benin,CFA Franc,XOF,794.1201,01/01/2025,31/01/2025
Bermuda,Dollar (US),BMD,1.2707,01/01/2025,31/01/2025
Bhutan,Ngultrum,BTN,107.9353,01/01/2025,31/01/2025
Bolivia,Boliviano,BOB,8.7701,01/01/2025,31/01/2025
Bosnia- Herzegovinia,Marka,BAM,2.3678,01/01/2025,31/01/2025
Botswana,Pula,BWP,17.3429,01/01/2025,31/01/2025
Brazil,Real,BRL,7.7852,01/01/2025,31/01/2025
Brunei,Dollar,BND,1.7165,01/01/2025,31/01/2025
Bulgaria,Lev,BGN,2.3678,01/01/2025,31/01/2025
Burkina Faso,CFA Franc,XOF,794.1201,01/01/2025,31/01/2025
Burundi,Franc,BIF,3751.7976,01/01/2025,31/01/2025
Cambodia,Riel,KHR,5104.0549,01/01/2025,31/01/2025
Cameroon Republic,CFA Franc,XAF,794.1201,01/01/2025,31/01/2025
Canada,Dollar,CAD,1.8203,01/01/2025,31/01/2025
Cape Verde Islands,Escudo,CVE,133.4960,01/01/2025,31/01/2025
Cayman Islands,Dollar,KYD,1.0508,01/01/2025,31/01/2025
Central African Republic,CFA Franc,XAF,794.1201,01/01/2025,31/01/2025
