Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.6758,01/07/2024,31/07/2024
Albania,Lek,ALL,118.8464,01/07/2024,31/07/2024
Algeria,Dinar,DZD,171.2929,01/07/2024,31/07/2024
Angola,Readj Kwanza,AOA,1098.8061,01/07/2024,31/07/2024
Antigua,E Caribbean Dollar,XCD,3.4384,01/07/2024,31/07/2024
Argentina,Peso,ARS,1153.2360,01/07/2024,31/07/2024
Armenia,Dram,AMD,491.5370,01/07/2024,31/07/2024
Aruba,Florin,AWG,2.2790,01/07/2024,31/07/2024
Australia,Dollar,AUD,1.9090,01/07/2024,31/07/2024
Azerbaijan,New Manat,AZN,2.1643,01/07/2024,31/07/2024
Bahamas,Dollar,BSD,1.2732,01/07/2024,31/07/2024
Bahrain,Dinar,BHD,0.4787,01/07/2024,31/07/2024
Bangladesh,Taka,BDT,149.5975,01/07/2024,31/07/2024
Barbados,Dollar,BBD,2.5464,01/07/2024,31/07/2024
Belarus,Rouble,BYN,4.1634,01/07/2024,31/07/2024
Belize,Dollar,BZD,2.5774,01/07/2024,31/07/2024
Benin,CFA Franc,XOF,776.9327,01/07/2024,31/07/2024
Bermuda,Dollar (US),BMD,1.2732,01/07/2024,31/07/2024
Bhutan,Ngultrum,BTN,106.2292,01/07/2024,31/07/2024
Bolivia,Boliviano,BOB,8.7822,01/07/2024,31/07/2024
Bosnia- Herzegovinia,Marka,BAM,2.3165,01/07/2024,31/07/2024
Botswana,Pula,BWP,17.1861,01/07/2024,31/07/2024
Brazil,Real,BRL,6.9220,01/07/2024,31/07/2024
Brunei,Dollar,BND,1.7196,01/07/2024,31/07/2024
Bulgaria,Lev,BGN,2.3165,01/07/2024,31/07/2024
Burkina Faso,CFA Franc,XOF,776.9327,01/07/2024,31/07/2024
Burundi,Franc,BIF,3656.1642,01/07/2024,31/07/2024
Cambodia,Riel,KHR,5237.3171,01/07/2024,31/07/2024
Cameroon Republic,CFA Franc,XAF,776.9327,01/07/2024,31/07/2024
Canada,Dollar,CAD,1.7453,01/07/2024,31/07/2024
Cape Verde Islands,Escudo,CVE,130.6067,01/07/2024,31/07/2024
Cayman Islands,Dollar,KYD,1.0445,01/07/2024,31/07/2024
Central African Republic,CFA Franc,XAF,776.9327,01/07/2024,31/07/2024
Chad,CFA Franc,XAF,776.9327,01/07/2024,31/07/2024
Chile,Peso,CLP,1192.7476,01/07/2024,31/07/2024
China,Yuan,CNY,9.2393,01/07/2024,31/07/2024
Colombia,Peso,COP,5281.1173,01/07/2024,31/07/2024
Comoros,Franc,KMF,582.6995,01/07/2024,31/07/2024
Congo (Brazaville),CFA Franc,XAF,776.9327,01/07/2024,31/07/2024
Congo (DemRep),Congo Fr,CDF,3620.9539,01/07/2024,31/07/2024
Costa Rica,Colon,CRC,660.3429,01/07/2024,31/07/2024
Cote d'Ivoire,CFA Franc,XOF,776.9327,01/07/2024,31/07/2024
Cuba,Peso,CUP,30.4969,01/07/2024,31/07/2024
Czech Republic,Koruna,CZK,29.5081,01/07/2024,31/07/2024
Denmark,Krone,DKK,8.8348,01/07/2024,31/07/2024
Djibouti,Franc,DJF,226.2763,01/07/2024,31/07/2024
Dominica,E Caribbean Dollar,XCD,3.4384,01/07/2024,31/07/2024
Dominican Republic,Peso,DOP,75.1616,01/07/2024,31/07/2024
Dubai,Dirham,AED,4.6758,01/07/2024,31/07/2024
Egypt,Pound,EGP,60.7449,01/07/2024,31/07/2024
El Salvador,Colon,SVC,11.1404,01/07/2024,31/07/2024
Equatorial Guinea,CFA Franc,XAF,776.9327,01/07/2024,31/07/2024
Eritrea,Nakfa,ERN,19.0979,01/07/2024,31/07/2024
Ethiopia,Birr,ETB,73.3086,01/07/2024,31/07/2024
Eurozone,Euro,EUR,1.1844,01/07/2024,31/07/2024
Fiji Islands,Dollar,FJD,2.8644,01/07/2024,31/07/2024
Fr. Polynesia,CFP Franc,XPF,141.3397,01/07/2024,31/07/2024
Gabon,CFA Franc,XAF,776.9327,01/07/2024,31/07/2024
Gambia,Dalasi,GMD,86.4126,01/07/2024,31/07/2024
Georgia,Lari,GEL,3.5567,01/07/2024,31/07/2024
Ghana,Cedi,GHS,19.1963,01/07/2024,31/07/2024
Grenada,E Caribbean Dollar,XCD,3.4384,01/07/2024,31/07/2024
Guatemala,Quetzal,GTQ,9.8707,01/07/2024,31/07/2024
Guinea Bissau,CFA Franc,XOF,776.9327,01/07/2024,31/07/2024
Guinea Republic,Franc,GNF,10953.2286,01/07/2024,31/07/2024
Guyana,Dollar,GYD,265.5308,01/07/2024,31/07/2024
Haiti,Gourde,HTG,168.6335,01/07/2024,31/07/2024
Honduras,Lempira,HNL,31.4299,01/07/2024,31/07/2024
Hong Kong,Dollar,HKD,9.9387,01/07/2024,31/07/2024
Hungary,Forint,HUF,469.1123,01/07/2024,31/07/2024
Iceland,Krona,ISK,176.8399,01/07/2024,31/07/2024
India,Rupee,INR,106.2292,01/07/2024,31/07/2024
Indonesia,Rupiah,IDR,20862.1566,01/07/2024,31/07/2024
Iraq,Dinar,IQD,1663.0411,01/07/2024,31/07/2024
Israel,Shekel,ILS,4.7326,01/07/2024,31/07/2024
Jamaica,Dollar,JMD,197.8881,01/07/2024,31/07/2024
Japan,Yen,JPY,201.0431,01/07/2024,31/07/2024
Jordan,Dinar,JOD,0.9027,01/07/2024,31/07/2024
Kazakhstan,Tenge,KZT,585.4136,01/07/2024,31/07/2024
Kenya,Schilling,KES,164.8814,01/07/2024,31/07/2024
Kuwait,Dinar,KWD,0.3903,01/07/2024,31/07/2024
Kyrgyz Republic,Som,KGS,111.1525,01/07/2024,31/07/2024
Lao People's Dem Rep,Kip,LAK,27858.3011,01/07/2024,31/07/2024
Lebanon,Pound,LBP,114698.2593,01/07/2024,31/07/2024
Lesotho,Loti,LSL,22.9255,01/07/2024,31/07/2024
Liberia,Dollar,LRD,247.2571,01/07/2024,31/07/2024
Libya,Dinar,LYD,6.1657,01/07/2024,31/07/2024
Macao,Pataca,MOP,10.2368,01/07/2024,31/07/2024
Macedonia,Denar,MKD,73.0140,01/07/2024,31/07/2024
